iter	Passed	Remaining
399	48710	12177
400	48812	12050
401	48939	11930
402	49075	11812
403	49208	11693
404	49332	11571
405	49467	11452
406	49599	11333
407	49737	11215
408	49850	11091
409	49954	10965
410	50073	10843
411	50194	10721
412	50280	10591
413	50402	10470
414	50551	10353
415	50676	10232
416	50791	10109
417	50912	9987
418	51034	9865
419	51154	9743
420	51267	9620
421	51378	9496
422	51512	9376
423	51637	9255
424	51750	9132
425	51867	9009
426	51966	8884
427	52097	8764
428	52220	8642
429	52338	8520
430	52486	8402
431	52633	8284
432	52755	8163
433	52878	8041
434	52994	7918
435	53118	7797
436	53242	7675
437	53362	7553
438	53495	7433
439	53614	7311
440	53744	7190
441	53862	7067
442	53993	6947
443	54111	6824
444	54234	6703
445	54370	6582
446	54491	6460
447	54619	6339
448	54739	6217
449	54837	6093
450	54964	5971
451	55087	5849
452	55200	5727
453	55333	5606
454	55456	5484
455	55563	5361
456	55655	5236
457	55769	5114
458	55897	4993
459	56000	4869
460	56132	4748
461	56270	4628
462	56425	4509
463	56618	4392
464	56729	4269
465	56835	4146
466	56955	4024
467	57087	3903
468	57228	3782
469	57347	3660
470	57459	3537
471	57580	3415
472	57714	3294
473	57830	3172
474	57945	3049
475	58074	2928
476	58202	2806
477	58326	2684
478	58449	2562
479	58583	2440
480	58715	2319
481	58827	2196
482	58944	2074
483	59040	1951
484	59148	1829
485	59262	1707
486	59377	1585
487	59516	1463
488	59646	1341
489	59769	1219
490	59886	1097
491	60031	976
492	60170	854
493	60295	732
494	60435	610
495	60554	488
496	60686	366
497	60822	244
498	60920	122
499	61044	0
