iter	RMSE
432	0.3397412684
433	0.3396638291
434	0.3395522865
435	0.3394600347
436	0.3393438151
437	0.3392597117
438	0.3392325245
439	0.3391224867
440	0.339079023
441	0.3389614523
442	0.3388436835
443	0.3388004063
444	0.3387090537
445	0.3386002354
446	0.338460374
447	0.338407385
448	0.3383550263
449	0.338233816
450	0.3381429288
451	0.3380991606
452	0.3380213431
453	0.3379580194
454	0.3378562521
455	0.3377422915
456	0.3376570647
457	0.3375458373
458	0.3375039782
459	0.3374691229
460	0.3374011614
461	0.3372862796
462	0.33723849
463	0.3371163972
464	0.3370539972
465	0.337014918
466	0.3369467446
467	0.3368734036
468	0.336805067
469	0.3366924652
470	0.3366440452
471	0.336598749
472	0.3365322204
473	0.3365106265
474	0.3364804077
475	0.3364204978
476	0.3363942876
477	0.3363324284
478	0.3362691152
479	0.3361885017
480	0.3360820736
481	0.3360524749
482	0.3359420132
483	0.3359094872
484	0.3358787608
485	0.3358026302
486	0.3357275502
487	0.3356794609
488	0.3356201092
489	0.3355859317
490	0.335525287
491	0.3354445525
492	0.3353947719
493	0.335363891
494	0.3353295583
495	0.3352149282
496	0.3351363244
497	0.3350470643
498	0.3350199871
499	0.3349519805
